Game_Index,Home_Team,URL,HT_Pts,Opp_Pts,FG,FGA,FG_Pct,Three_Pt,Three_Pt_Attempts,Three_Pt_Pct,Free_Throws,Free_Throw_Attempts,Free_Throw_Pct,Offensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,FG_Opp,FGA_Opp,FG_Pct_Opp,Three_Pt_Opp,Three_Pt_Attempts_Opp,Three_Pt_Pct_Opp,Free_Throws_Opp,Free_Throw_Attempts_Opp,Free_Throw_Pct_Opp,Offensive_Rebounds_Opp,Total_Rebounds_Opp,Assists_Opp,Steals_Opp,Blocks_Opp,Turnovers_Opp,Personal_Fouls_Opp,Result
1065,california-riverside,air-force,60,72,22,52,0.423,9,24,0.375,7,10,0.7,4,19,10,6,1,12,16,25,45,0.556,8,16,0.5,14,19,0.737,6,30,10,5,2,15,14,L
1071,california-riverside,cal-poly,74,51,29,58,0.5,10,20,0.5,6,7,0.857,13,43,16,3,0,14,10,20,59,0.339,8,32,0.25,3,6,0.5,5,20,11,6,3,6,11,W
1073,california-riverside,cal-poly,45,71,17,47,0.362,2,15,0.133,9,11,0.818,6,24,10,4,9,8,17,27,52,0.519,12,22,0.545,5,9,0.556,4,24,17,1,3,7,12,L
1076,california-riverside,california-santa-barbara,71,57,26,45,0.578,11,17,0.647,8,12,0.667,4,24,15,4,0,19,21,26,49,0.531,9,18,0.5,23,23,1,7,23,17,10,2,11,16,W
1087,california-santa-barbara,arkansas-pine-bluff,55,45,20,44,0.455,3,12,0.25,12,20,0.6,8,35,11,0,5,12,14,18,54,0.333,7,16,0.438,2,5,0.4,5,23,7,4,1,10,20,W
1092,california-santa-barbara,cal-poly,65,56,24,60,0.4,7,21,0.333,10,16,0.625,12,39,15,3,3,10,17,23,61,0.377,7,25,0.28,3,7,0.429,7,27,11,2,6,8,19,W
1093,california-santa-barbara,california-riverside,72,64,27,55,0.491,4,13,0.308,14,19,0.737,8,26,15,3,2,6,11,26,58,0.448,9,21,0.429,3,6,0.5,13,36,15,1,3,13,16,W
1094,california-santa-barbara,california-davis,69,58,24,54,0.444,11,24,0.458,10,13,0.769,11,33,13,7,1,14,14,23,48,0.479,4,15,0.267,8,12,0.667,2,20,8,9,2,11,16,W
1097,california-santa-barbara,california-irvine,62,66,23,68,0.338,6,22,0.273,10,16,0.625,12,35,14,4,2,7,14,28,61,0.459,4,14,0.286,6,8,0.75,9,41,12,1,7,11,16,L
1101,california-santa-barbara,california-riverside,57,71,19,48,0.396,4,22,0.182,15,20,0.75,5,21,4,4,4,14,15,22,51,0.431,6,18,0.333,11,12,0.917,4,24,9,6,1,11,17,L
1102,california-santa-barbara,california-irvine,70,83,24,59,0.407,7,22,0.318,15,19,0.789,8,24,10,6,2,13,20,29,60,0.483,5,17,0.294,20,24,0.833,11,34,10,9,6,10,19,L
1133,fresno-state,cal-poly,76,67,22,49,0.449,9,24,0.375,23,29,0.793,7,28,10,7,7,7,12,24,64,0.375,10,28,0.357,9,11,0.818,14,36,11,5,2,13,21,W
1136,fresno-state,california,95,73,29,57,0.509,8,21,0.381,29,38,0.763,10,33,17,8,3,13,17,28,57,0.491,3,15,0.2,14,18,0.778,5,23,10,7,5,13,28,W
1143,fresno-state,boise-state,63,53,23,52,0.442,7,23,0.304,10,12,0.833,7,28,10,6,5,16,13,21,51,0.412,4,21,0.19,7,8,0.875,6,18,8,4,3,16,15,W
1150,fresno-state,boise-state,65,63,21,47,0.447,9,28,0.321,14,20,0.7,6,31,10,5,5,12,14,22,60,0.367,3,17,0.176,16,17,0.941,9,33,8,8,0,9,21,W
1152,fresno-state,air-force,61,64,20,57,0.351,12,31,0.387,9,12,0.75,4,38,9,9,3,15,22,23,56,0.411,10,31,0.323,8,19,0.421,4,37,10,7,4,12,16,L
1154,cal-state-fullerton,arizona-state,94,102,34,74,0.459,7,24,0.292,19,26,0.731,4,34,7,7,3,17,36,33,78,0.423,10,26,0.385,26,44,0.591,18,56,11,3,2,17,26,L
1167,cal-state-fullerton,california-irvine,46,63,17,54,0.315,0,11,0,12,19,0.632,5,31,3,3,2,12,8,25,58,0.431,6,16,0.375,7,8,0.875,6,40,13,6,6,11,17,L
1168,cal-state-fullerton,california-riverside,69,61,23,46,0.5,10,22,0.455,13,20,0.65,2,25,14,5,2,9,12,24,51,0.471,4,16,0.25,9,12,0.75,4,28,10,2,1,14,16,W
1170,cal-state-fullerton,california-santa-barbara,81,60,32,58,0.552,4,13,0.308,13,14,0.929,3,34,14,4,1,5,18,20,60,0.333,8,28,0.286,12,22,0.545,9,31,9,2,1,7,14,W
1171,cal-state-fullerton,cal-poly,80,63,26,46,0.565,2,10,0.2,26,35,0.743,11,37,9,4,5,10,15,27,64,0.422,6,22,0.273,3,9,0.333,10,25,10,5,2,8,23,W
1173,cal-state-fullerton,california-irvine,53,60,17,53,0.321,4,14,0.286,15,21,0.714,8,29,4,10,2,17,19,21,50,0.42,7,19,0.368,11,14,0.786,7,35,15,4,3,19,22,L
1174,cal-state-fullerton,california-riverside,77,54,27,53,0.509,8,13,0.615,15,19,0.789,5,30,18,5,7,11,14,22,64,0.344,4,22,0.182,6,14,0.429,12,32,11,6,1,12,17,W
1177,cal-state-fullerton,california-davis,62,58,23,55,0.418,6,18,0.333,10,14,0.714,7,37,12,4,2,13,14,22,53,0.415,6,18,0.333,8,16,0.5,5,31,9,4,1,10,17,W
1178,cal-state-fullerton,california-santa-barbara,67,82,25,56,0.446,6,13,0.462,11,18,0.611,4,21,11,7,0,12,19,27,54,0.5,8,18,0.444,20,27,0.741,9,37,16,8,4,14,16,L
1180,long-beach-state,arizona-state,58,90,17,62,0.274,9,31,0.29,15,24,0.625,7,26,14,11,4,15,27,29,65,0.446,5,16,0.313,27,36,0.75,16,58,17,7,7,17,23,L
1195,long-beach-state,cal-state-fullerton,90,92,33,73,0.452,7,23,0.304,17,26,0.654,12,39,11,10,5,18,25,32,62,0.516,5,15,0.333,23,33,0.697,8,38,14,14,3,18,23,L
1201,long-beach-state,cal-poly,76,68,21,51,0.412,4,9,0.444,30,41,0.732,9,40,12,5,4,15,16,25,72,0.347,5,21,0.238,13,21,0.619,14,36,6,12,4,10,28,W
1202,long-beach-state,cal-state-fullerton,82,85,31,62,0.5,3,16,0.188,17,23,0.739,3,22,17,2,2,14,23,28,58,0.483,11,24,0.458,10,14,0.714,10,26,13,9,0,18,33,L
1203,long-beach-state,california-davis,73,77,27,50,0.54,4,14,0.286,15,26,0.577,5,30,12,4,1,13,20,28,58,0.483,12,27,0.444,9,16,0.563,9,32,20,3,1,14,21,L
1204,long-beach-state,cal-state-northridge,80,78,29,81,0.358,9,28,0.321,13,17,0.765,22,45,11,7,2,11,12,28,70,0.4,7,25,0.28,7,10,0.7,14,37,16,0,1,10,22,W
1205,long-beach-state,california-riverside,71,67,24,67,0.358,5,19,0.263,18,22,0.818,14,43,10,3,2,11,10,29,68,0.426,8,26,0.308,1,2,0.5,8,35,15,9,4,12,20,W
1221,cal-state-northridge,california-riverside,84,83,29,55,0.527,9,16,0.563,17,28,0.607,8,29,16,6,2,9,16,27,58,0.466,14,30,0.467,15,16,0.938,5,28,21,6,1,10,23,W
1224,cal-state-northridge,california-irvine,68,74,28,60,0.467,9,20,0.45,3,11,0.273,6,25,15,6,6,8,20,24,67,0.358,11,25,0.44,15,22,0.682,22,44,15,4,2,10,17,L
1225,cal-state-northridge,long-beach-state,86,71,33,65,0.508,8,21,0.381,12,14,0.857,9,30,19,10,4,9,14,28,58,0.483,8,16,0.5,7,8,0.875,6,24,17,6,3,15,15,W
1227,cal-state-northridge,cal-poly,83,65,28,62,0.452,7,16,0.438,20,23,0.87,9,34,13,3,5,3,19,24,61,0.393,7,21,0.333,10,22,0.455,14,38,8,2,4,7,19,W
1228,cal-state-northridge,california-santa-barbara,64,70,27,62,0.435,1,21,0.048,9,16,0.563,10,27,14,6,0,8,21,22,48,0.458,6,16,0.375,20,26,0.769,11,36,11,2,4,14,15,L
1229,cal-state-northridge,california-davis,59,76,21,53,0.396,7,18,0.389,10,16,0.625,3,25,11,6,7,10,13,27,56,0.482,12,25,0.48,10,11,0.909,5,33,20,8,3,9,14,L
1230,cal-state-northridge,cal-state-fullerton,71,78,25,69,0.362,7,22,0.318,14,23,0.609,16,41,12,7,3,14,21,28,63,0.444,5,17,0.294,17,23,0.739,13,41,13,2,7,13,17,L
1231,cal-state-northridge,long-beach-state,78,80,29,58,0.5,7,19,0.368,13,17,0.765,8,37,12,6,5,18,19,25,73,0.342,13,38,0.342,11,16,0.688,11,41,9,5,8,12,19,L
1232,cal-state-northridge,california-davis,81,76,28,61,0.459,10,23,0.435,15,26,0.577,9,36,13,5,7,15,22,23,61,0.377,9,24,0.375,21,24,0.875,8,30,12,6,2,15,23,W
1234,sacramento-state,cal-state-fullerton,87,82,31,72,0.431,6,19,0.316,19,29,0.655,15,46,20,9,2,20,21,32,66,0.485,2,19,0.105,16,24,0.667,6,35,15,13,3,18,24,W
1235,sacramento-state,california-santa-barbara,58,75,20,49,0.408,4,14,0.286,14,24,0.583,7,23,9,5,0,12,21,22,59,0.373,7,16,0.438,4,10,0.4,8,31,8,11,4,19,18,L
1236,sacramento-state,cal-state-northridge,88,68,33,60,0.55,4,15,0.267,18,21,0.857,11,39,11,9,1,17,21,24,62,0.387,4,15,0.267,16,23,0.696,13,29,11,8,3,15,18,W
1258,campbell,austin-peay,78,72,28,55,0.509,12,24,0.5,10,15,0.667,5,23,17,8,1,15,12,29,57,0.509,6,21,0.286,8,8,1,9,31,13,9,6,17,15,W
1262,campbell,austin-peay,75,88,25,56,0.446,9,26,0.346,16,24,0.667,5,30,9,6,5,16,26,31,62,0.5,7,20,0.35,19,28,0.679,8,37,12,9,2,12,23,L
1279,canisius,bucknell,82,73,26,57,0.456,10,22,0.455,20,25,0.8,6,31,13,8,4,12,21,26,53,0.491,10,26,0.385,11,20,0.55,4,27,14,4,6,15,22,W
1280,canisius,albany-ny,66,75,23,60,0.383,6,30,0.2,14,25,0.56,8,29,12,11,2,8,24,25,47,0.532,8,18,0.444,17,25,0.68,6,33,17,5,1,17,19,L
1284,canisius,alabama-birmingham,58,68,19,53,0.358,4,20,0.2,16,20,0.8,7,23,11,9,3,20,18,26,54,0.481,5,17,0.294,11,15,0.733,11,32,9,9,3,22,22,L
1292,canisius,brown,90,97,32,65,0.492,13,33,0.394,13,22,0.591,8,31,15,6,8,22,26,35,70,0.5,10,25,0.4,17,28,0.607,12,38,17,12,2,18,23,L
